Brand,Category,Product,Size,Cost,Likes,Perfume_size,No_of_reviews,Rating
"Clinique
",Bath & Body,Sonic System Extra Gentle Cleansing Brush Head,ITEM 1774868,$27.00 ,546 loves,NA,3 reviews,5
"Clinique
",Bath & Body,Virtu-oil Body Mist Broad Spectrum SPF 30,SIZE 4.9 oz/ 144 mL•ITEM 1898949,$34.00 ,786 loves,NA,6 reviews,4.2
"Clinique
",Bath & Body,Clinique for Men Sonic Cleansing Brush Head Refill,ITEM 1734664,$27.00 ,240 loves,NA,e,f
"Clinique
",Bath & Body,Clinique Happy Body Wash,SIZE 6.7 oz•ITEM 133652,$34.00 ,663 loves,NA,3 reviews,5
"Clinique
",Bath & Body,Antiperspirant-Deodorant Stick,SIZE 2.25 oz•ITEM 786871,$15.00 ,695 loves,NA,32 reviews,4.3
"DKNY
",Fragrance,Be Desired,ITEM 1747187,$90.00 ,830 loves,3.4 oz Eau de Parfum Spray,7 reviews,3.4
"donna-karan
",Fragrance,Cashmere Mist Deodorant,ITEM 592527,$27.00 ,10K loves,SIZE: 1.7 oz/ 50 g,537 reviews,4.6
"donna-karan
",Fragrance,Cashmere Mist Eau de Parfum,ITEM 860940,$95.00 ,5170 loves,1.7 oz/ 50 mL Eau de Parfum Spray,219 reviews,4.6
"donna-karan
",Fragrance,Cashmere Mist Everything Set,ITEM 2052983,"$118.00
($144.00 value)",102 loves,NA,e,f
"donna-karan
",Fragrance,Cashmere Mist Rollerball,ITEM 1636232,$30.00 ,2787 loves,0.27 oz/ 8 mL Eau de Parfum Rollerball,24 reviews,4.6
"donna-karan
",Fragrance,Cashmere Mist Eau de Toilette,ITEM 83410,$96.00 ,3509 loves,3.4 oz/ 100 mL Eau de Toilette Spray,392 reviews,4.6
"donna-karan
",Fragrance,Cashmere Mist Body Lotion,ITEM 83360,$54.00 ,864 loves,SIZE: 6.7 oz/ 200 mL,11 reviews,4.9
"donna-karan
",Fragrance,Liquid Cashmere White,ITEM 1759315,$95.00 ,408 loves,1.7 oz Eau de Parfum Spray,2 reviews,4
"donna-karan
",Fragrance,Cashmere Mist Body Creme,SIZE 6.7 oz/ 200 mL•ITEM 592501,$56.00 ,644 loves,NA,5 reviews,4.8
"donna-karan
",Fragrance,Liquid Cashmere Black,ITEM 1759281,$95.00 ,796 loves,1.7 oz Eau de Parfum Spray,12 reviews,4.9
"donna-karan
",Fragrance,Cashmere Aura,ITEM 1854694,$92.00 ,464 loves,1.7 oz Eau de Parfum Spray,5 reviews,4.6
"donna-karan
",Fragrance,Liquid Cashmere White Rollerball,ITEM 1756923,$30.00 ,359 loves,only a few left - 0.34 oz Eau de Parfum Rollerball,3 reviews,3.3
"donna-karan
",Fragrance,Liquid Cashmere Body Lotion,SIZE 6.7 oz/ 200 mL•ITEM 1650761,$52.00 ,115 loves,only a few left - FORMULATION: Body Lotion,e,f
"donna-karan
",Fragrance,a,b,c,NA,NA,e,f
"donna-karan
",Bath & Body,Cashmere Mist Deodorant,ITEM 592527,$27.00 ,10K loves,SIZE: 1.7 oz/ 50 g,537 reviews,4.6
"donna-karan
",Bath & Body,Cashmere Mist Body Lotion,ITEM 83360,$54.00 ,864 loves,SIZE: 6.7 oz/ 200 mL,11 reviews,4.9
"donna-karan
",Bath & Body,Cashmere Mist Body Creme,SIZE 6.7 oz/ 200 mL•ITEM 592501,$56.00 ,644 loves,NA,5 reviews,4.8
"donna-karan
",Bath & Body,Liquid Cashmere Body Lotion,SIZE 6.7 oz/ 200 mL•ITEM 1650761,$52.00 ,115 loves,only a few left - FORMULATION: Body Lotion,e,f
"Estee-lauder
",Skincare,Advanced Night Repair Synchronized Recovery Complex II,ITEM 1551753,$98.00 ,40K loves,SIZE: 1.7 oz/ 50 mL,416 reviews,4.4
"Estee-lauder
",Skincare,Advanced Night Repair Eye Cream Synchronized Complex II,SIZE 0.5 oz/ 15 mL•ITEM 1632181,$60.00 ,10K loves,NA,110 reviews,3.6
"Estee-lauder
",Skincare,Perfectionist CP+R Wrinkle Lifting/Firming Serum,ITEM 1468230,$98.00 ,9321 loves,SIZE: 1.7 oz/ 50 mL,59 reviews,4.4
"Estee-lauder
",Skincare,Advanced Night Repair Concentrated Recovery PowerFoil Mask,ITEM 1803378,$80.00 ,8651 loves,SIZE: 4 sheets,18 reviews,4.1
"Estee-lauder
",Skincare,Revitalizing Supreme Global Anti-Aging Crème,ITEM 1874692,$82.00 ,4950 loves,SIZE: 1.7 oz/ 50 mL,87 reviews,4.4
"Estee-lauder
",Skincare,Micro Essence Skin Activating Treatment Lotion,ITEM 1641323,$98.00 ,10K loves,SIZE: 5 oz/ 150 mL,50 reviews,4.5
"Estee-lauder
",Skincare,Nutritious Radiant Vitality 2-in-1 Foam Cleanser,SIZE 4.2 oz/ 124 mL•ITEM 1520311,$30.00 ,4522 loves,NA,22 reviews,4.4
"Estee-lauder
",Skincare,Advanced Night Repair Starter Set,ITEM 1991686,"$35.00
($55.00 value)",2286 loves,NA,4 reviews,4
"Estee-lauder
",Skincare,"Resilience Lift Firming/Sculpting Face and Neck Creme Broad Spectrum SPF 15, Normal/Combination Skin",SIZE 2.5 oz•ITEM 1468057,$108.00 ,4140 loves,NA,14 reviews,4.1
